system:index,date,lado,ndvi,.geo
1_0,2017-01,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2017-02,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,2017-03,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,2017-04,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,2017-05,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,2017-06,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,2017-07,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,2017-08,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,2017-09,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,2017-10,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,2017-11,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,2017-12,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,2018-01,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,2018-02,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,2018-03,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,2018-04,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,2018-05,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,2018-06,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,2018-07,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,2018-08,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,2018-09,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,2018-10,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,2018-11,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,2018-12,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,2019-01,Leste,0.71465389644661,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,2019-02,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,2019-03,Leste,0.7346015038287927,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,2019-04,Leste,0.7074630201234866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,2019-05,Leste,0.7461832109787098,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,2019-06,Leste,0.7313788505483502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,2019-07,Leste,0.7485735811681404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,2019-08,Leste,0.7189418034159579,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,2019-09,Leste,0.7430744192819246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,2019-10,Leste,0.5740433838844711,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,2019-11,Leste,0.6903673598073808,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,2019-12,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,2020-01,Leste,0.5756887103624014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,2020-02,Leste,0.7198047194074166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,2020-03,Leste,0.7394455592003829,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,2020-04,Leste,0.7667179136531849,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,2020-05,Leste,0.7485286903710081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,2020-06,Leste,0.7629024350320021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,2020-07,Leste,0.8044598129329117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,2020-08,Leste,0.7326181436404171,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_44,2020-09,Leste,0.7161017718324687,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,2020-10,Leste,0.6965544460922268,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_46,2020-11,Leste,0.7461056062195525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_47,2020-12,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_48,2021-01,Leste,0.65536880050669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_49,2021-02,Leste,0.7378751171361968,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_50,2021-03,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_51,2021-04,Leste,0.7458502536332523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_52,2021-05,Leste,0.7136863082261273,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_53,2021-06,Leste,0.7177688182986373,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,2021-07,Leste,0.7337775271859739,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_55,2021-08,Leste,0.6613011987446251,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_56,2021-09,Leste,0.7206897712606066,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,2021-10,Leste,0.7574721908395428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_58,2021-11,Leste,0.7838281100641692,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_59,2021-12,Leste,0.6270288754926074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_60,2022-01,Leste,0.7051401723880608,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,2022-02,Leste,0.5155879930979013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_62,2022-03,Leste,0.5209305303069003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,2022-04,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_64,2022-05,Leste,0.3060417395101369,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_65,2022-06,Leste,0.4523772471857901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_66,2022-07,Leste,0.4822918175995534,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_67,2022-08,Leste,0.5311278898127251,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_68,2022-09,Leste,0.5142541033500446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_69,2022-10,Leste,0.4790437724902321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_70,2022-11,Leste,0.4194265589113397,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_71,2022-12,Leste,0.41586078528245596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_72,2023-01,Leste,0.499088432607091,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,2023-02,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,2023-03,Leste,0.4883279130138302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_75,2023-04,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,2023-05,Leste,0.5007014716960884,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_77,2023-06,Leste,0.4971668055463818,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_78,2023-07,Leste,0.4958088056614242,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_79,2023-08,Leste,0.4947171742911548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_80,2023-09,Leste,0.49166271144874907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_81,2023-10,Leste,0.46581307552962553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_82,2023-11,Leste,0.49656416978917883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_83,2023-12,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_84,2024-01,Leste,0.4608364796632609,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_85,2024-02,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_86,2024-03,Leste,0.46463219811029993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_87,2024-04,Leste,0.39001113075225896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_88,2024-05,Leste,0.41127821954465826,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_89,2024-06,Leste,0.5041983879981622,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_90,2024-07,Leste,0.48232597426076435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_91,2024-08,Leste,0.4560251029393562,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_92,2024-09,Leste,0.477461884504149,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_93,2024-10,Leste,0.45669343454042655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_94,2024-11,Leste,0.43016369899886264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_95,2024-12,Leste,0.4393240058940609,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_96,2025-01,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_97,2025-02,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_98,2025-03,Leste,0.2803120271637658,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_99,2025-04,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_100,2025-05,Leste,0.49007433183415616,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_101,2025-06,Leste,0.49366028941546447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_102,2025-07,Leste,0.5127419131729479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_103,2025-08,Leste,0.48578367538577094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_104,2025-09,Leste,0.4879434864520265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_105,2025-10,Leste,0.47175153022746885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_106,2025-11,Leste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
